Fezandipiti ex,1,Pokemon,SFA,38
Hoothoot,1,Pokemon,SCR,114
Noctowl,1,Pokemon,SCR,115
Radiant Greninja,1,Pokemon,ASR,46
Raging Bolt ex,3,Pokemon,TEF,123
Squawkabilly ex,1,Pokemon,PAL,264
Teal Mask Ogerpon ex,4,Pokemon,TWM,25
Boss's Orders,1,Supporter,,
Briar,1,Supporter,,
Crispin,1,Supporter,,
Iono,1,Supporter,,
Professor Sada's Vitality,4,Supporter,,
Earthen Vessel,4,Item,,
Energy Retrieval,3,Item,,
Miracle Headset - ACESPEC,1,Item,,
Nest Ball,3,Item,,
Night Stretcher,1,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,2,Item,,
Pokemon Catcher,3,Item,,
Super Rod,1,Item,,
Switch Cart,2,Item,,
Trekking Shoes,3,Item,,
Ancient Booster Energy Capsule,1,Tool,,
Bravery Charm,1,Tool,,
Pokestop,2,Stadium,,
Basic Fighting Energy,3,Energy,,
Basic Grass Energy,6,Energy,,
Basic Lightning Energy,3,Energy,,
