Archeops,4,Pokemon,SIT,147
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Cinccino,3,Pokemon,TEF,137
Flutter Mane,1,Pokemon,TEF,78
Lugia V,3,Pokemon,SIT,138
Lugia VSTAR,3,Pokemon,SIT,139
Lumineon V,2,Pokemon,PRSWSH,250
Minccino,3,Pokemon,TEF,136
Wyrdeer V,1,Pokemon,ASR,134
Arven,4,Supporter,,
Boss's Orders,4,Supporter,,
Iono,2,Supporter,,
Professor's Research,2,Supporter,,
Brilliant Blender - ACESPEC,1,Item,,
Canceling Cologne,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Vitality Band,1,Tool,,
Double Turbo Energy,4,Energy,,
Gift Energy,4,Energy,,
Jet Energy,4,Energy,,
Mist Energy,3,Energy,,
V-Guard Energy,1,Energy,,
