Ralts,1,Pokemon,SVI,211
Ralts,3,Pokemon,ASR,60
Kirlia,4,Pokemon,SIT,68
Gardevoir ex,2,Pokemon,PAF,29
Munkidori,2,Pokemon,TWM,95
Scream Tail,1,Pokemon,SVP,65
Drifloon,1,Pokemon,PAF,155
Flutter Mane,1,Pokemon,SVP,97
Mimikyu,1,Pokemon,SVP,75
Radiant Greninja,1,Pokemon,ASR,46
Manaphy,1,Pokemon,BRS,41
Arven,4,Supporter,,
Iono,3,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,1,Supporter,,
Unfair Stamp - ACESPEC,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Earthen Vessel,3,Item,,
Counter Catcher,2,Item,,
Super Rod,2,Item,,
Ultra Ball,2,Item,,
Nest Ball,2,Item,,
Hisuian Heavy Ball,1,Item,,
Bravery Charm,3,Tool,,
Technical Machine: Evolution,2,Tool,,
Artazon,2,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,2,Energy,,
