Munkidori,2,Pokemon,TWM,95
Drifloon,1,Pokemon,SVI,89
Manaphy,1,Pokemon,BRS,41
Kirlia,4,Pokemon,SIT,68
Budew,1,Pokemon,PRE,4
Ralts,3,Pokemon,ASR,60
Ralts,1,Pokemon,SIT,67
Gardevoir ex,2,Pokemon,PAF,29
Flutter Mane,1,Pokemon,TEF,78
Scream Tail,1,Pokemon,PAR,86
Boss's Orders,1,Supporter,,
Iono,2,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Arven,4,Supporter,,
Hisuian Heavy Ball,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Super Rod,2,Item,,
Rare Candy,1,Item,,
Ultra Ball,2,Item,,
Nest Ball,2,Item,,
Counter Catcher,2,Item,,
Pal Pad,1,Item,,
Earthen Vessel,2,Item,,
Night Stretcher,1,Item,,
Bravery Charm,2,Tool,,
Hero's Cape - ACESPEC,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Moonlit Hill,1,Stadium,,
Artazon,1,Stadium,,
Basic Psychic Energy,6,Energy,,
Basic Darkness Energy,3,Energy,,
