Dreepy,2,Pokemon,PRE,71
Dreepy,2,Pokemon,TWM,128
Dragapult ex,2,Pokemon,TWM,130
Dragapult ex,1,Pokemon,TWM,200
Duskull,2,Pokemon,BRS,60
Dusclops,1,Pokemon,SFA,19
Dusknoir,1,Pokemon,PRE,37
Dusknoir,1,Pokemon,SFA,20
Fezandipiti ex,1,Pokemon,SFA,38
Lumineon V,1,Pokemon,BRS,40
Budew,1,Pokemon,PRE,4
Radiant Alakazam,1,Pokemon,SIT,59
Drakloak,2,Pokemon,TWM,129
Drakloak,2,Pokemon,PRE,72
Arven,4,Supporter,,
Lance,2,Supporter,,
Boss's Orders,2,Supporter,,
lono,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Thorton,1,Supporter,,
Crispin,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Nest Ball,2,Item,,
Counter Catcher,2,Item,,
Ultra Ball,2,Item,,
Rare Candy,2,Item,,
Night Stretcher,1,Item,,
Switch,1,Item,,
Earthen Vessel,1,Item,,
Lost Vacuum,1,Item,,
Forest Seal Stone,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Rescue Board,1,Tool,,
Technical Machine: Evolution,1,Tool,,
Lost City,1,Stadium,,
Basic Psychic Energy,3,Energy,,
Basic Fire Energy,3,Energy,,
