Flareon ex,2,Pokemon,PRE,14
Hoothoot,2,Pokemon,SCR,114
Noctowl,2,Pokemon,SCR,115
Pikachu ex,1,Pokemon,SSP,247
Pikachu ex,1,Pokemon,SSP,57
Pidgeot ex,1,Pokemon,OBF,164
Pidgeot ex,1,Pokemon,PAF,221
Pidgey,2,Pokemon,MEW,16
Eevee,1,Pokemon,SVP,173
Eevee,2,Pokemon,PRE,74
Budew,1,Pokemon,PRE,4
Crispin,2,Supporter,,
Boss's Orders,3,Supporter,,
Iono,3,Supporter,,
Earthen Vessel,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Rare Candy,2,Item,,
Ultra Ball,3,Item,,
Hisuian Heavy Ball,1,Item,,
Tera Orb,3,Item,,
Super Rod,4,Item,,
Sparkling Crystal - ACESPEC,1,Tool,,
Rescue Board,1,Tool,,
Powerglass,1,Tool,,
Gravity Mountain,2,Stadium,,
Basic Fire Energy,2,Energy,,
Basic Metal Energy,3,Energy,,
Basic Grass Energy,3,Energy,,
Basic Lightning Energy,4,Energy,,
