Charmander,4,Pokemon,PAF,7
Charmeleon,2,Pokemon,PAF,8
Charizard ex,3,Pokemon,OBF,125
Radiant Charizard,1,Pokemon,CRZ,20
Pidgey,2,Pokemon,MEW,16
Pidgeot ex,1,Pokemon,OBF,217
Pidgeot ex,1,Pokemon,PAF,221
Rotom V,1,Pokemon,LOR,58
Lumineon V,1,Pokemon,SWSH,250
Fezandipiti ex,1,Pokemon,SFA,38
Duskull,1,Pokemon,SFA,18
Dusclops,1,Pokemon,SFA,19
Dusknoir,1,Pokemon,SFA,20
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,2,Supporter,,
Professor's Research,2,Supporter,,
Thorton,1,Supporter,,
Arven,4,Supporter,,
Iono,2,Supporter,,
Ultra Ball,4,Item,,
Rare Candy,4,Item,,
Super Rod,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Counter Catcher,2,Item,,
Night Stretcher,2,Item,,
Lost Vacuum,1,Item,,
Switch,1,Item,,
Nest Ball,3,Item,,
Prime Catcher - ACESPEC,1,Item,,
Defiance Band,1,Tool,,
Forest Seal Stone,1,Tool,,
Basic Fire Energy,6,Energy,,
