**Timburr**,4,Pokemon,BRS,73
Klawf,3,Pokemon,PAR,105
Conkeldurr,4,Pokemon,TWM,105
Brute Bonnet,3,Pokemon,PAR,123
Bidoof,1,Pokemon,BRS,120
Bibarel,1,Pokemon,BRS,121
Radiant Hisuian Sneasler,1,Pokemon,LOR,123
Arven,3,Supporter,,
Boss's Orders,3,Supporter,,
Professor's Research,3,Supporter,,
Iono,4,Supporter,,
Rare Candy,4,Item,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Super Rod,3,Item,,
Counter Catcher,1,Item,,
Switch,2,Item,,
Ancient Booster Energy Capsule,4,Tool,,
Defiance Band,1,Tool,,
Artazon,2,Stadium,,
Neutralization Zone - ACESPEC,1,Stadium,,
Double Turbo Energy,4,Energy,,
