Ralts,3,Pokemon,ASR,60
Ralts,1,Pokemon,SVI,211
Kirlia,4,Pokemon,SIT,68
Gardevoir ex,1,Pokemon,SVI,228
Gardevoir ex,1,Pokemon,SVI,86
Budew,1,Pokemon,PRE,4
Scream Tail,1,Pokemon,SVP,65
Drifloon,1,Pokemon,SVI,89
Radiant Greninja,1,Pokemon,ASR,46
Flutter Mane,1,Pokemon,SVP,90
Mawile,1,Pokemon,LOR,71
Munkidori,1,Pokemon,PRE,44
Spiritomb,1,Pokemon,PAL,89
Munkidori,2,Pokemon,TWM,95
Arven,4,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,1,Supporter,,
Iono,3,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Hisuian Heavy Ball,1,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,2,Item,,
Super Rod,1,Item,,
Night Stretcher,2,Item,,
Nest Ball,1,Item,,
Hero's Cape - ACESPEC,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,1,Tool,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
