Scorbunny,4,Pokemon,SCR,26
Raboot,1,Pokemon,SCR,27
Cinderace ex,3,Pokemon,SCR,28
Pidgey,2,Pokemon,MEW,16
Pidgeot ex,1,Pokemon,OBF,164
Pidgeot ex,1,Pokemon,OBF,217
Iron Thorns ex,3,Pokemon,TWM,77
Fezandipiti ex,1,Pokemon,SFA,38
Budew,1,Pokemon,PRE,4
Boss's Orders,2,Supporter,,
Arven,4,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Iono,2,Supporter,,
Crispin,4,Supporter,,
Tera Orb,1,Item,,
Rare Candy,4,Item,,
Buddy-Buddy Poffin,4,Item,,
Nest Ball,2,Item,,
Super Rod,1,Item,,
Counter Catcher,1,Item,,
Ultra Ball,2,Item,,
Defiance Band,1,Tool,,
Future Booster Energy Capsule,2,Tool,,  
Sparkling Crystal - ACESPEC,1,Tool,,
Basic Fire Energy,4,Energy,,
Basic Darkness Energy,3,Energy,,
Basic Fighting Energy,3,Energy,,
Basic Lightning Energy,1,Energy,,
