Dragapult ex,2,Pokemon,TWM,130
Drakloak,4,Pokemon,TWM,129
Dreepy,4,Pokemon,TWM,128
Iron Thorns ex,4,Pokemon,TWM,77
Radiant Alakazam,1,Pokemon,SIT,59
Minior,1,Pokemon,PAR,201
Munkidori,1,Pokemon,TWM,95
Shellos,1,Pokemon,SSP,46
Gastrodon,1,Pokemon,SSP,107
Arven,4,Supporter,,
Boss's Orders,2,Supporter,,
Crispin,4,Supporter,,
Iono,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Ultra Ball,2,Item,,
Precious Trolley - ACESPEC,1,Item,,
Buddy-Buddy Poffin,1,Item,,
Pokegear 3.0,3,Item,,
Night Stretcher,1,Item,,
Super Rod,1,Item,,
Earthen Vessel,1,Item,,
Rare Candy,1,Item,,
Counter Catcher,1,Item,,
Lost Vacuum,1,Item,,
Switch,1,Item,,
Future Booster Energy Capsule,1,Tool,,
Rescue Board,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Basic Psychic Energy,4,Energy,,
Basic Fire Energy,3,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Darkness Energy,1,Energy,,
