Drakloak,2,Pokemon,TWM,129
Dusclops,1,Pokemon,PRE,36
Dreepy,3,Pokemon,TWM,128
Duskull,2,Pokemon,BRS,60
Fezandipiti ex,1,Pokemon,SFA,38
Drakloak,2,Pokemon,PRE,72
Budew,1,Pokemon,PRE,4
Klefki,1,Pokemon,SVI,96
Dreepy,1,Pokemon,PRE,71
Dragapult ex,3,Pokemon,TWM,130
Radiant Alakazam,1,Pokemon,SIT,59
Lumineon V,1,Pokemon,CRZ,GG39
Dusknoir,2,Pokemon,SFA,20
Boss's Orders,1,Supporter,,
Iono,2,Supporter,,
Arven,4,Supporter,,
Lance,2,Supporter,,
Crispin,1,Supporter,,
Mela,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Rare Candy,3,Item,,
Nest Ball,2,Item,,
Earthen Vessel,1,Item,,
Switch,1,Item,,
Night Stretcher,1,Item,,
Ultra Ball,3,Item,,
Counter Catcher,2,Item,,
Technical Machine: Evolution,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Forest Seal Stone,1,Tool,,
Rescue Board,1,Tool,,
Collapsed Stadium,1,Stadium,,
Basic Psychic Energy,3,Energy,,
Basic Fire Energy,3,Energy,,
