Chien-Pao ex,1,Pokemon,PAL,236
Chien-Pao ex,2,Pokemon,PAL,61
Iron Hands ex,1,Pokemon,PAR,70
Baxcalibur,2,Pokemon,PAL,60
Arctibax,1,Pokemon,PAL,209
Frigibax,1,Pokemon,PAL,208
Frigibax,1,Pokemon,PAL,57
Frigibax,1,Pokemon,PAL,58
Bibarel,1,Pokemon,CRZ,25
Bibarel,1,Pokemon,BRS,121
Bidoof,2,Pokemon,CRZ,111
Lumineon V,1,Pokemon,BRS,40
Radiant Greninja,1,Pokemon,ASR,46
Iono,1,Supporter,,
Boss's Orders,1,Supporter,,
Irida,4,Supporter,,
Prime Catcher - ACESPEC,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Rare Candy,4,Item,,
Buddy-Buddy Poffin,3,Item,,
Super Rod,2,Item,,
Earthen Vessel,1,Item,,
Superior Energy Retrieval,3,Item,,
Night Stretcher,1,Item,,
Canceling Cologne,1,Item,,
Switch,1,Item,,
Pokestop,1,Stadium,,
Basic Lightning Energy,1,Energy,,
Basic Fighting Energy,11,Energy,,
