Raging Bolt ex,1,Pokemon,TEF,196
Raging Bolt ex,2,Pokemon,TEF,123
Raging Bolt ex,1,Pokemon,SVP,145
Latias ex,1,Pokemon,SSP,220
Iron Bundle,1,Pokemon,SVP,66
Teal Mask Ogerpon ex,1,Pokemon,TWM,190
Teal Mask Ogerpon ex,1,Pokemon,SVP,166
Teal Mask Ogerpon ex,2,Pokemon,TWM,25
Koraidon,1,Pokemon,SSP,116
Fezandipiti ex,1,Pokemon,SFA,38
Squawkabilly ex,1,Pokemon,SVP,160
Sandy Shocks ex,1,Pokemon,PRE,565
Boss's Orders,1,Supporter,,
Crispin,3,Supporter,,
Professor Sada's Vitality,4,Supporter,,
Explorer's Guidance,1,Supporter,,
Switch,2,Item,,
Super Rod,1,Item,,
Night Stretcher,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,1,Item,,
Pokegear 3.0,3,Item,,
Earthen Vessel,3,Item,,
Counter Catcher,1,Item,,
Bug Catching Set,1,Item,,
Superior Energy Retrieval,1,Item,,
Bravery Charm,1,Tool,,
Ancient Booster Energy Capsule,1,Tool,,
Area Zero Underdepths,1,Stadium,,
Basic Grass Energy,7,Energy,,
Basic Lightning Energy,4,Energy,,
Basic Fighting Energy,4,Energy,,
