Capsakid,3,Pokemon,SVI,27
Cleffa,2,Pokemon,OBF,80
Fezandipiti ex,1,Pokemon,SFA,38
Froslass,3,Pokemon,TWM,53
Scovillain ex,3,Pokemon,TEF,22
Snorunt,3,Pokemon,PAR,37
Arven,2,Supporter,,
Brassius,2,Supporter,,
Boss's Orders,1,Supporter,,
Iono,1,Supporter,,
Irida,3,Supporter,,
Surfer,1,Supporter,,
Xerosic's Machinations,2,Supporter,,
Buddy-Buddy Poffin,3,Item,,
Counter Catcher,2,Item,,
Crushing Hammer,2,Item,,
Earthen Vessel,2,Item,,
Enhanced Hammer,1,Item,,
Great Ball,1,Item,,
Nest Ball,1,Item,,
Night Stretcher,1,Item,,
Pal Pad,2,Item,,
Pokemon Catcher,2,Item,,
Super Rod,2,Item,,
Ultra Ball,1,Item,,
Switch,1,Item,,
Unfair Stamp - ACESPEC,1,Item,,
EXP. Share,1,Tool,,
Rescue Board,1,Tool,,
Technical Machine: Evolution,1,Tool,,
Jamming Tower,2,Stadium,,
Basic Grass Energy,6,Energy,,
