Giratina V,3,Pokemon,LOR,185
Giratina VSTAR,3,Pokemon,LOR,212
Comfey,4,Pokemon,CRZ,GG14
Cramorant,1,Pokemon,LOR,50
Sableye,1,Pokemon,LOR,70
Radiant Greninja,1,Pokemon,ASR,46
Bloodmoon Ursaluna ex,1,Pokemon,SVP,177
Fezandipiti ex,1,Pokemon,SFA,92
Manaphy,1,Pokemon,CRZ,GG6
Iron Bundle,1,Pokemon,SVP,66
Colress's Experiment,4,Suppoter,,
Iono,1,Suppoter,,
Roxanne,1,Suppoter,,
Boss's Orders,2,Suppoter,,
Mirage Gate,4,Item,,
Buddy-Buddy Poffin,2,Item,,
Nest Ball,4,Item,,
Super Rod,2,Item,,
Pokegear 3.0,1,Item,,
Lost Vacuum,1,Item,,
Switch,1,Item,,
Switch Cart,3,Item,,
Counter Catcher,1,Item,,
Rescue Board,1,Tool,,
Maximum Belt - ACESPEC,1,Tool,,
Basic Psychich Energy,4,Energy,,
Basic Grass Energy,4,Energy,,
Basic Water Energy,3,Energy,,
Jet Energy,3,Energy,,
