Trapinch,3,Pokemon,SSP,104
Brute Bonnet,2,Pokemon,PAF,123
Vibrava,2,Pokemon,SSP,105
Flygon ex,2,Pokemon,SSP,106
Budew,1,Pokemon,PRE,4
Mimikyu,1,Pokemon,SVP,75
Pecharunt,2,Pokemon,SVP,129
Pecharunt ex,1,Pokemon,SFA,55
Latias ex,1,Pokemon,SSP,76
Fezandipiti ex,1,Pokemon,SFA,84
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Arven,4,Supporter,,
Iono,3,Supporter,,
Boss's Orders,2,Supporter,,
Switch,1,Item,,
Ultra Ball,4,Item,,
Nest Ball,3,Item,,
Rare Candy,3,Item,,
Precious Trolley - ACESPEC,1,Item,,
Earthen Vessel,1,Item,,
Super Rod,1,Item,,
Counter Catcher,1,Item,,
Night Stretcher,1,Item,,
Technical Machine: Evolution,1,Tool,,
Rescue Board,2,Tool,,
Ancient Booster Energy Capsule,2,Tool,,
Binding Mochi,2,Tool,,
Perilous Jungle,2,Stadium,,
Basic Fighting Energy,5,Energy,,
Basic Darkness Energy,2,Energy,,
