Poltchageist,4,Pokemon,TWM,20
Sinistcha,3,Pokemon,TWM,22
Sinistch ex,1,Pokemon,TWM,189
Sinistch ex,1,Pokemon,TWM,210
Radiant Greninja,1,Pokemon,ASR,46
Wyrdeer V,1,Pokemon,ASR,134
Budew,1,Pokemon,PRE,4
Fezandipiti ex,1,Pokemon,SFA,38
Teal Mask Ogerpon ex,2,Pokemon,PRE,12
Teal Mask Ogerpon ex,2,Pokemon,TWM,25
Iono,3,Supporter,,
Professor's Research,2,Supporter,,
Boss's Orders,3,Supporter,,
Nest Ball,4,Item,,
Ultra Ball,3,Item,,
Earthen Vessel,2,Item,,
Super Rod,2,Item,,
Bug Catching Set,3,Item,,
Survival Brace - ACESPEC,1,Tool,,
Area Zero Underdepths,2,Stadium,,
Basic Grass Energy,18,Energy,,
