Cornerstone Mask Ogerpon ex,1,Pokemon,TWM,112
Tatsugiri,1,Pokemon,TWM,131
Munkidori,2,Pokemon,TWM,95
Feebas,3,Pokemon,TWM,49
Farigiraf ex,2,Pokemon,TEF,108
Milotic ex,2,Pokemon,SSP,42
Milotic ex,1,Pokemon,SSP,217
Girafarig,1,Pokemon,TEF,66
Girafarig,2,Pokemon,TWM,83
Iono,2,Supporter,,
Boss's Orders,3,Supporter,,
Crispin,4,Supporter,,
Professor's Research,2,Supporter,,
Arven,3,Supporter,,
Poke Vital A - ACESPEC,1,Item,,
Earthen Vessel,1,Item,,
Buddy-Buddy Poffin,1,Item,,
Super Rod,1,Item,,
Counter Gain,1,Item,,
Counter Catcher,1,Item,,
Switch,1,Item,,
Pokegear 3.0,2,Item,,
Town Store,1,Stadium,,
Artazon,1,Stadium,,
Ultra Ball,2,Item,,
Nest Ball,3,Item,,
Technical Machine: Turbo Energize,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Basic Water Energy,3,Energy,,
Basic Fighting Energy,3,Energy,,
Basic Psychic Energy,3,Energy,,
<<<<<<< HEAD
Basic Darkness Energy,3,Energy,,
=======
Basic Darkness Energy,3,Energy,,
>>>>>>> a15d38f3d7f07622633404be7862bc82c5d578df
