Raging Bolt ex,2,Pokemon,ex SVP,145
Raging Bolt ex,1,Pokemon,ex TEF,123
Raging Bolt ex,1,Pokemon,ex TEF,196
Teal Mask Ogerpon ex,3,Pokemon,TWM,25
Hoothoot,2,Pokemon,TEF,126
Noctowl,1,Pokemon,SCR,115
Noctowl,1,Pokemon,PRE,78
Fezandipiti ex,1,Pokemon,SFA,84
Squawkabilly ex,1,Pokemon,PAL,169
Latias ex,1,Pokemon,SSP,76
Radiant Greninja,1,Pokemon,ASR,46
Slither Wing,1,Pokemon,PAR,107
Earthen Vessel,4,Item,,
Nest Ball,4,Item,,
Energy Retrieval,3,Item,,
Night Stretcher,2,Item,,
Pokegear 3.0,1,Item,,
Hisuian Heavy Ball,1,Item,,
Pal Pad,1,Item,,
Professor Sada's Vitality,4,Supporter,,
Boss's Orders,2,Supporter,,
Crispin,1,Supporter,,
Briar,1,Supporter,,
Ancient Booster Energy Capsule,2,Tool,,
Bravery Charm,1,Tool,,
PokeStop,2,Stadium,,
Switch,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Ultra Ball,2,Item,,
Basic Grass Energy,5,Energy,,
Basic Fighting Energy,3,Energy,,
Basic Lightning Energy,3,Energy,,
