Cramorant,1,Pokemon,LOR,50
Sableye,1,Pokemon,LOR,70
Radiant Greninja,1,Pokemon,ASR,46
Regigigas,1,Pokemon,PRE,86
Iron Bundle,1,Pokemon,PAR,56
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Fezandipiti ex,1,Pokemon,SFA,38
Pikachu ex,1,Pokemon,SSP,57
Comfey,4,Pokemon,CRZ,GG14
Iron Hands ex,1,Pokemon,PAR,223
Colress's Experiment,4,Supporter,,
Boss's Orders,2,Supporter,,
Roxanne,1,Supporter,,
Crispin,1,Supporter,,
Mirage Gate,4,Item,,
Nest Ball,4,Item,,
Switch Cart,4,Item,,
Super Rod,4,Item,,
Switch,2,Item,,
Buddy-Buddy Poffin,2,Item,,
Lost Vacuum,1,Item,,
Night Stretcher,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Pokegear 3.0,1,Item,,
Hisuian Heavy Ball,1,Item,,
Rescue Board,1,Tool,,
Artazon,2,Stadium,,
Water Energy,3,Energy,,
Grass Energy,2,Energy,,
Lightning Energy,2,Energy,,
Jet Energy,2,Energy,,
Psychic Energy,1,Energy,,
Metal Energy,1,Energy,,
