Blissey ex,2,Pokemon,TWM,201
Blissey ex,2,Pokemon,TWM,134
Chansey,1,Pokemon,TWM,187
Chansey,1,Pokemon,TWM,133
Chansey,2,Pokemon,MEW,113
Terapagos ex,2,Pokemon,SCR,128
Munkidori,3,Pokemon,TWM<95
Cleffa,1,Pokemon,PBF,80
Mew ex,1,Pokemon,MEW,151
Radiant Alakazam,1,Pokemon,SIT,59
Ultra Ball,4,Item,,
Nest Ball,2,Item,,
Precious Trolley - ACESPEC,1,Item,,
Earthen Vessel,2,Item,,
Glass Trumpet,3,Item,,
Night Stretcher,1,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,2,Item,,
Super Rod,1,Item,,
Switch,1,Item,,
Arven,3,Supporter,,
Boss's Orders,2,Supporter,,
Cheren's Care,1,Supporter,,
Colress's Tenacity,1,Supporter,,
Iono,3,Supporter,,
Counter Gain,1,Tool,,
Handheld Fan,1,Tool,,
Technical Machine: Devolution,1,Tool,,
Area Zero Underdepths,3,Stadium,,
Basic Psychic Energy,2,Energy,,
Basic Darkness Energy,6,Energy,,
Double Turbo Energy,2,Energy,,
