Budew,2,Pokemon,PRE,4
Dragapult ex,3,Pokemon,TWM,130
Drakloak,4,Pokemon,PRE,72
Dreepy,4,Pokemon,PRE,71
Fezandipiti ex,1,Pokemon,SFA,38
Duskull,2,Pokemon,SFA,18
Dusclops,1,Pokemon,SFA,19
Dusknoir,2,Pokemon,SFA,20
Munkidori,1,Pokemon,TWM,95
Jacq,2,Supporter,,
Arven,4,Supporter,,
Iono,3,Supporter,,
Crispin,2,Supporter,,
Boss's Orders,1,Supporter,,
Nest Ball,2,Item,,
Earthen Vessl,2,Item,,
Rare Candy,2,Item,,
Super Rod,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Counter Catcher,2,Item,,
Ultra Ball,3,Item,,
Unfair Stamp - ACESPEC,1,Item,,
Switch,1,Item,,
Night Stretcher,1,Item,,
Artazon,2,Stadium,,
Basic Fire Energy,3,Energy,,
Basic Psychic Energy,3,Energy,,
Basic Darkness Energy,1,Energy,,
