Charizard ex,3,Pokemon,OBF,125
Charmander,4,Pokemon,PAF,7
Charmeleon,3,Pokemon,PAF,8
Pidgeot ex,2,Pokemon,OBF,164
Pidgeotto,2,Pokemon,MEW,17
Pidgey,2,Pokemon,MEW,16
Dusknoir,1,Pokemon,SFA,20
Dusclops,1,Pokemon,SFA,19
Duskull,1,Pokemon,SFA,18
Arven,2,Supporter,,
Iono,4,Supporter,,
Boss's Orders,2,Supporter,,
Professor's Research,2,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Rare Candy,4,Item,,
Ultra Ball,4,Item,,
Prime Catcher - ACESPEC,1,Item,,
Super Rod,1,Item,,
Switch,1,Item,,
Technical Machine: Evolution,2,Tool,,
Defiance Band,1,Tool,,
Artazon,2,Stadium,,
Basic Fire Energy,10,Energy,,
