Honedge,4,Pokemon,PAR,130
Jirachi,1,Pokemon,PAR,126
Genesect,1,Pokemon,SFA,40
Scyther,2,Pokemon,OBF,4
Archaludon,1,Pokemon,PRE,70
Aegislash,3,Pokemon,PAR,134
Duraludon,1,Pokemon,SCR,106
Scizor,1,Pokemon,OBF,204
Scizor,1,Pokemon,OBF,141
Doublade,2,Pokemon,PAR,132
Doublade,2,Pokemon,PAR,133
Drayton,2,Supporter,,
Arven,3,Supporter,,
Buddy-Buddy Poffin,3,Item,,
Ultra Ball,3,Item,,
Lucky Helment,1,Tool,,
Luxurious Cape,1,Tool,,
Maximum Belt - ACESPEC,1,Tool,,
Iono,2,Supporter,,
Saguaro,1,Supporter,,
Norman,2,Supporter,,
Rare Candy,1,Item,,
Energy Retrieval,2,Item,,
Technical Machine: Evolution,2,Tool,,
Boss's Orders,3,Supporter,,
Earthen Vessel,1,Item,,
Giovanni's Charisma,2,Supporter,,
Kieran,1,Supporter,,
Basic Metal Energy,10,Energy,,
