Snorlax,4,Pokemon,PGO,55
Rotom V,1,Pokemon,LOR,58
Cornerstone Mask Ogerpon ex,1,Pokemon,TWM,112
Arven,4,Supporter,,
Penny,4,Supporter,,
Cyllene,2,Supporter,,
Miss Fortune Sisters,2,Supporter,,
Boss's Orders,2,Supporter,,
Eri,1,Supporter,,
Giacomo,1,Supporter,,
Erika's Invitation,1,Supporter,,
Team Yell's Cheer,1,Team Yell's Cheer
Xerosic's Machinations,1,Supporter,,
Iono,1,Supporter,,
Counter Catcher,4,Item,,
Accompanying Flute,4,Item,,
Pokégear 3.0,4,Item,,
Boxed Order,4,Item,,
Nest Ball,3,Item,,
Pal Pad,2,Item,,
Night Stretcher,2,Item,,
Hisuian Heavy Ball,1,Item,,
Secret Box - ACESPEC,1,Item,,
Handheld Fan,2,Tool,,
Bravery Charm,1,Tool,,
Forest Seal Stone,1,Tool,,
Temple of Sinnoh,3,Stadium,,
