Meowscarada ex,2,Pokemon,PAL,5
Meowscarada ex,1,Pokemon,SVP,35
Sprigatito ex,1,Pokemon,SVP,87
Sprigatito,2,Pokemon,PAL,12
Sprigatito,1,Pokemon,PAL,13
Sprigatito,1,Pokemon,MCD,1
Floragato,1,Pokemon,SVI,14
Floragato,2,Pokemon,PAL,14
Poltchageist,1,Pokemon,TWM,21
Sinistcha,1,Pokemon,TWM,22
Mimikyu,1,Pokemon,PAF,37
Bidoof,1,Pokemon,CRZ,111
Bibarel,1,Pokemon,PGO,60
Nest Ball,3,Item,,
Ultra Ball,4,Item,,
Bug Catching Set,2,Item,,
Iono,3,Supporter,,
Gardenia's Vigor,1,Supporter,,
Artazon,3,Stadium,,
Town Store,1,Stadium,,
Rare Candy,2,Item,,
Night Stretcher,1,Item,,
Energy Retrieval,1,Item,,
Superior Energy Retrieval,1,Item,,
Pokemon Catcher,1,Item,,
Super Rod,1,Item,,
Switch,1,Item,,
Technical Machine: Blindside,1,Tool,,
Professor's Research,4,Supporter,,
Boss's Orders,1,Supporter,,
Basic Grass Energy,13,Energy,,
