Gholdengo ex,2,Pokemon,PAR,139
Gholdengo ex,2,Pokemon,PAR,231
Gholdengo,1,Pokemon,SSP,131
Munkidori,1,Pokemon,PRE,44
Fezandipiti ex,1,Pokemon,SFA,38
Dunsparce,2,Pokemon,TEF,128
Dundunsparce,2,Pokemon,TEF,129
Gimmighoul,3,Pokemon,PAR,88
Gimmighoul,1,Pokemon,SSP,97
Boss's Orders,2,Supporter,,
Lana's Aid,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Counter Catcher,1,Item,,
Earthen Vessel,1,Item,,
Switch,1,Item,,
Ultra Ball,2,Item,,
Arven,3,Supporter,,
Night Stretcher,2,Item,,
Artazon,1,Stadium,,
Nest Ball,2,Item,,
Technical Machine: Evolution,2,Tool,,
Superior Energy Retrieval,4,Item,,
Professor Turo's Scenario,1,Supporter,,
Energy Search Pro - ACESPEC,1,Item,,
Iono,1,Supporter,,
Ciphermaniac's Codebreaking,3,Supporter,,
Jamming Tower,1,Stadium,,
Basic Metal Energy,3,Energy,,
Basic Fire Energy,1,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Water Energy,1,Energy,,
Basic Fighting Energy,1,Energy,,
Basic Grass Energy,1,Energy,,
Basic Psychic Energy,1,Energy,,
Basic Darkness Energy,2,Energy,,
