Joltik,2,Pokemon,SCR,50
Miraidon ex,2,Pokemon,SVI,81
Iron Hands ex,1,Pokemon,PAR,223
Iron Hands ex,1,Pokemon,PAR,70
Iron Hands ex,1,Pokemon,TEF,25
Pikachu ex,2,Pokemon,SSP,57
Galvantula,1,Pokemon,SFA,2
Latias ex,1,Pokemon,SSP,76
Mew ex,1,Pokemon,MEW,151
Lillie's Clefairy ex,1,Pokemon,JTA,56
Fezandipiti ex,1,Pokemon,SFA,84
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Crispin,4,Supporter,,
Boss' Orders,4,Supporter,,
Arven,4,Supporter,,
Iono,1,Supporter,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Pokegear 3.0,3,Item,,
Prime Catcher - ACESPEC,1,Stadium,,
Super Rod,1,Item,,
Earthen Vessel,1,Item,,
Future Booster Energy Capsule,1,Tool,,
Rescue Board,1,Tool,,
Bravery Charm,1,Tool,,
Exp. Share,1,Tool,,
Basic Grass Energy,5,Energy,,
Basic Lightning Energy,5,Energy,,
Basic Psychic Energy,2,Energy,,
Basic Metal Energy,2,Energy,,
