Rotom V,1,Pokemon,LOR,58
Dusknoir,2,Pokemon,SFA,20
Dusclops,1,Pokemon,SFA,19
Drakloak,3,Pokemon,TWM,129
Dreepy,4,Pokemon,TWM,128
Lumineon V,1,Pokemon,SWSH,250
Dragapult ex,3,Pokemon,TWM,130
Duskull,1,Pokemon,BRS,60
Radiant Alakazam,1,Pokemon,SIT,59
Budew,1,Pokemon,PRE,4
Fezandipiti ex,1,Pokemon,SFA,38
Crispin,1,Supporter,,
Iono,2,Supporter,,
Arven,4,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Lance,2,Supporter,,
Boss's Orders,1,Supporter,,
Switch,1,Item,,
Rare Candy,2,Item,,
Rescue Board,1,Item,,
Counter Catcher,2,Item,,
Lost Vacuum,1,Item,,
Night Stretcher,2,Item,,
Ultra Ball,4,Item,,
Nest Ball,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Earthen Vessel,1,Item,,
Forest Seal Stone,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Technical Machine: Evolution,1,Tool,,
Temple of Sinnoh,1,Stadium,,
Basic Psychic Energy,3,Energy,,
Basic Fire Energy,3,Energy,,
