Ralts,4,Pokemon,ASR,60
Kirlia,4,Pokemon,SIT,68
Gardevoir ex,2,Pokemon,PAF,29
Munkidori,2,Pokemon,TWM,95
Mawile,1,Pokemon,LOR,71
Cresselia,1,Pokemon,LOR,74
Scream Tail,1,Pokemon,PAR,86
Klefki,1,Pokemon,SVI,96
Radiant Greninja,1,Pokemon,ASR,46
Manaphy,1,Pokemon,BRS,41
Iono,4,Supporter,,
Arven,3,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,2,Item,,
Night Stretcher,2,Item,,
Super Rod,1,Item,,
Nest Ball,1,Item,,
Hisuian Heavy Ball,1,Item,,
Lost Vacuum,1,Item,,
Secret Box - ACESPEC,1,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,1,Tool,,
Artazon,2,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
