Duraludon,4,Pokemon,SCR,106
Archaludon ex,4,Pokemon,SSP,130
Lumineon V,1,Pokemon,SWSH,250
Fezandipiti ex,1,Pokemon,SFA,38
Relicanth,1,Pokemon,TEF,84
Iron Bundle,1,Pokemon,PAR,56
Radiant Greninja,1,Pokemon,ASR,46
Professor's Research,4,Supporter,,
Boss's Orders,3,Supporter,,
Iono,2,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Black Belt's Training,1,Supporter,,
Thorton,1,Supporter,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Night Stretcher,4,Item,,
Earthen Vessel,4,Item,,
Pokegear 3.0,3,Item,,
Pal Pad,1,Item,,
Counter Catcher,1,Item,,
Unfair Stamp - ACESPEC,1,Item,,
Canceling Cologne,1,Item,,
Jamming Tower,3,Stadium,,
Basic Metal Energy,9,Energy,,
