Player,Wins,Draws,Total
Noah L U,8,2,26
James T,8,1,25
Declan E,8,0,24
Danny E,7,2,23
Jonathan S,7,1,22
Ben G,6,0,18
Liam G,5,0,15
Bobby H,5,0,15
Jemma G,4,1,13
Maxwell J,4,0,12
Sheldon K,4,0,12
Jack S,3,2,11
Axel P,3,2,11
Dylan G,3,1,10
Michael Y,3,1,10
Ray R,3,0,9
T Jay H D,3,0,9
Andrew L,3,0,9
Kye V,3,0,9
James N,3,0,9
Brandon B,3,0,9
Clint V,2,2,8
Bradley S,2,0,6
Adam S,2,0,6
Kai W,2,0,6
Teddy H,2,0,6
Ivan S,2,0,6
Theo E,2,0,6
Shawn F,2,0,6
Shahir R,2,0,6
Joshua B,2,0,6
Sai F,1,2,5
Emily W,1,1,4
Raymond R,1,0,3
Yoi Hon M,0,3,3
James G,1,0,3
Dylan S,1,0,3
Cian M,1,0,3
Albert R,0,1,1
Player C,0,0,0
Player B,0,0,0
Player A,0,0,0
Aaron B,0,0,0
