Regidrago VSTAR,3,Pokemon,SIT,136
Regidrago V,2,Pokemon,SIT,135
Regidrago V,1,Pokemon,SIT,183
Teal Mask Ogerpon ex,2,Pokemon,TWM,25
Teal Mask Ogerpon ex,1,Pokemon,TWM,190
Squawkabilly ex,1,Pokemon,PAL,223
Cleff,1,Pokemon,OBF,80
Hisuian Goodra VSTAR,1,Pokemon,LOR,136
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Charizard,1,Pokemon,CRZ,20
Dragonite,1,Pokemon,SIT,131
Ultra Ball,4,Trainer,,
Nest Ball,4,Trainer,,
Energy Switch,4,Trainer,,
Earthen Vessel,4,Trainer,,
Professor's Research,4,Trainer,,
Iono,2,Trainer,,
Boss's Orders,2,Trainer,,
Canceling Cologne,1,Trainer,,
Night Stretcher,1,Trainer,,
Prime Catcher,1,Trainer,,
Jamming Tower,1,Trainer,,
Super Rod,1,Trainer,,
Switch,1,Trainer,,
Superior Energy Retrieval,1,Trainer,,
Basic Grass Energy,7,Energy,,
Basic Fire Energy,2,Energy,,
