Duraludon,4,Pokemon,SCR,106
Archaludon ex,3,Pokemon,SSP,130
Origin Forme Dialga V,1,Pokemon,ASR,113
Origin Forme Dialga VSTAR,1,Pokemon,ASR,114
Staryu,2,Pokemon,MEW,120
Starmie,1,Pokemon,MEW,121
Relicanth,1,Pokemon,TEF,84
Lumineon V,1,Pokemon,BRS,40
Radiant Greninja,1,Pokemon,ASR,46
Fezandipiti exe,1,Pokemon,SFA,38
Hisuian Heavy Ball,1,Trainer,,
Switch,1,Trainer,,
Professor's Research,3,Trainer,,
Pokestop,2,Trainer,,
Professor Turo's Scenario,1,Trainer,,
Nest Ball,4,Trainer,,
Earthen Vessel,3,Trainer,,
Pokestop,3,Trainer,,
Scramble Switch,1,Trainer,,
Pokegear 3.0,2,Trainer,,
Boss's Orders,2,Trainer,,
Irida,1,Trainer,,
Night Stretcher,4,Trainer,,
Counter Catcher,1,Trainer,,
Ultra Ball,4,Trainer,,
Pal Pad,1,Trainer,,
Canceling Cologne,1,Trainer,,
Basic Metal Energy,9,Energy,,
