
Dragapult ex,2,Pokemon,TWM,200
Dragapult ex,1,Pokemon,TWM,130
Drakloak,3,Pokemon,TWM,129
Dreepy,4,Pokemon,TWM,128
Tatsugiri,1,Pokemon,SVP,118
Rotom V,1,Pokemon,LOR,177
Fezandipiti ex,1,Pokemon,SFA,84
Radiant Charizard,1,Pokemon,CRZ,20
Duskull,1,Pokemon,SFA,18
Dusknoir,1,Pokemon,SFA,20
Lumineon V,1,Pokemon,CRZ,GG39
Buddy Buddy Poffin,4,Trainer,,
Nest Ball,3,Trainer,,
Ultra Ball,3,Trainer,,
Earthen Vessel,2,Trainer,,
Counter Catcher,2,Trainer,,
Super Rod,1,Trainer,,
Hisuian Heavy Ball,1,Trainer,,
Night Stretcher,1,Trainer,,
Lost Vacuum,1,Trainer,,
Arven,4,Trainer,,
Iono,2,Trainer,,
Crispin,1,Trainer,,
Boss's Orders,1,Trainer,,
Roxanne,1,Trainer,,
Sparkling Crystal,1,Trainer,,
Forest Seal Stone,1,Trainer,,
Rescue Board,1,Trainer,,
Temple of Sinnoh,1,Trainer,,
Professor Turo's Scenario,1,Trainer,,
Rare Candy,4,Trainer,,
Switch,1,Trainer,,
Basic Fire Energy,3,Energy,,
Basic Psychic Energy,3,Energy,,
