Arven,2,Trainer,,
Grand Tree,1,Trainer,,
Double Turbo Energy,2,Energy,,
Spigatito,3,Pokemon,,
Iono,2,Trainer,,
Energy Retrieval,3,Trainer,,
Nest Ball,2,Trainer,,
Floragato,2,Pokemon,,
Rare Candy,4,Trainer,,
Meowscarada ex,3,Pokemon,,
Buddy-Buddy Poffin,3,Trainer,,
Ultra Ball,2,Trainer,,
Earthen Vessel,2,Trainer,,
Switch,2,Trainer,,
Rotom V,1,Pokemon,,
Radiant Alakazam,1,Pokemon,SIT,59
Professors Research,2,Trainer,,
Boss's Orders,2,Trainer,,
Super Rod,1,Trainer,,
Technical Machine: Evolution,1,Trainer,,
Artazon,1,Trainer,,
Dunsparce,3,Pokemon,TEF,128
Dudunspare,3,Pokemon,TEF,129
Basic Grass Energy,9,Energy,,
