Iron Hands ex,1,Pokemon,PAR,70
Cramorant,1,Pokemon,LOR,50
Radiant Greninja,1,Pokemon,ASR,46
Fezandipiti ex,1,Pokemon,SFA,38
Pikachu ex,1,Pokemon,SSP,57
Sableye,1,Pokemon,LOR,70
Comfey,4,Pokemon,LOR,79
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Manaphy,1,Pokemon,BRS,41
Switch Cart,3,Trainer,,
Hisuian Heavy Ball,1,Trainer,,
Rescue Board,1,Trainer,,
Night Stretcher,2,Trainer,,
Nest Ball,4,Trainer,,
Colress's Experiment,4,Trainer,,
Pal Pad,1,Trainer,,
Buddy-Buddy Poffin,3,Trainer,,
Prime Catcher,1,Trainer,,
Lost Vacuum,2,Trainer,,
Roxanne,1,Trainer,,
Mirage Gate,4,Trainer,,
Boss's Orders,1,Trainer,,
Switch,4,Trainer,,
Super Rod,3,Trainer,,
Pokestop,2,Trainer,,
Canceling Cologne,1,Trainer,,
Basic Grass Energy,2,Energy,,
Basic Metal Energy,2,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Psychic Energy,1,Energy,,
Basic Water Energy,3,Energy,,
