Cleffa,1,Pokemon,OBF,80
Dragonite,1,Pokemon,SIT,131
Fezandipiti ex,1,Pokemon,SFA,38
Hisuian Goodra VSTAR,1,Pokemon,LOR,136
Radiant Charizard,1,Pokemon,CRZ,20
Regidrago V,2,Pokemon,SIT,135
Regidrago V,1,Pokemon,SIT,183
Regidrago VSTAR,3,Pokemon,SIT,136
Squawkabilly ex,1,Pokemon,PAL,223
Teal Mask Ogerpon ex,2,Pokemon,TWM,25
Teal Mask Ogerpon ex,1,Pokemon,TWM,190
Boss's Orders,2,Supporter,,
Iono,2,Supporter,,
Professor's Research,4,Supporter,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Energy Switch,4,Item,,
Earthen Vessel,4,Item,,
Canceling Cologne,1,Item,,
Night Stretcher,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Super Rod,1,Item,,
Switch,1,Item,,
Superior Energy Retrieval,1,Item,,
Jamming Tower,1,Stadium,,
Basic Fire Energy,2,Energy,,
Basic Grass Energy,7,Energy,,
