Regidrago V,3,Pokemon,SIT,135
Regidrago VSTAR,3,Pokemon,SIT,136
Teal Mask Ogerpon ex,3,Pokemon,TWM,25
Hisuian Goodra VSTAR,1,Pokemon,LOR,136
Giratina VSTAR,1,Pokemon,LOR,131
Dragapult ex,1,Pokemon,TWM,130
Kyurem,1,Pokemon,SFA,47
Noivern ex,1,Pokemon,PAF,220
Haxorus,1,Pokemon,SFA,46
Mew ex,1,Pokemon,SVP,53
Fezandipiti ex,1,Pokemon,SFA,38
Cleff,1,Pokemon,OBF,80
Radiant Charizard,1,Pokemon,CRZ,20
Squawkabilly ex,1,Pokemon,PAL,169
Professor's Research,4,Trainer,,
Iono,2,Trainer,,
Boss's Orders,2,Trainer,,
Jamming Tower,1,Trainer,,
Temple of Sinnoh,1,Trainer,,
Nest Ball,4,Trainer,,
Ultra Ball,4,Trainer,,
Earthen Vessel,4,Trainer,,
Energy Switch,4,Trainer,,
Canceling Cologne,1,Trainer,,
Prime Catcher,1,Trainer,,
Switch,1,Trainer,,
Super Rod,2,Trainer,,
Basic Grass Energy,6,Energy,,
Basic Fire Energy,3,Energy,,
