Murkrow,4,Pokemon,PAL,131
Flamigo,4,Pokemon,PAL,170
Wattrel,4,Pokemon,PAL,80
Rowlet,2,Pokemon,SFA,3
Dartrix,4,Pokemon,SFA,4
Ditto,2,Pokemon,CRZ,107
Tatsugiri,1,Pokemon,TWM,131
Squawkabilly ex,1,Pokemon,PAF,75
Manaphy,1,Pokemon,BRS,41
Kyurem,1,Pokemon,SFA,47
Professor's Research,4,Trainer,,
Boss's Orders,2,Trainer,,
Arven,2,Trainer,,
Serena,1,Trainer,,
Ultra Ball,4,Trainer,,
Great Ball,1,Trainer,,
Nest Ball,2,Trainer,,
Night Stretcher,2,Trainer,,
Buddy-Buddy Poffin,1,Trainer,,
Hisuian Heavy Ball,1,Trainer,,
Pal Pad,1,Trainer,,
Super Rod,1,Trainer,,
Earthen Vessel,1,Trainer,,
Brilliant Blender,1,Trainer,,
Rescue Board,2,Trainer,,
Collapsed Stadium,2,Trainer,,
Basic Dark Energy,5,Energy,,
Double Turbo Energy,3,Energy,,
