Kyogre,1,Pokemon,CRZ,36
Iron Bundle,1,Pokemon,PAR,56
Frigibax,3,Pokemon,PAF,14
Chien-Pao ex,2,Pokemon,PAL,61
Bibarel,2,Pokemon,BRS,121
Baxcalibur,2,Pokemon,PAL,60
Radiant Greninja,1,Pokemon,ASR,46
Manaphy,1,Pokemon,BRS,41
Bidoof,2,Pokemon,CRZ,111
Hisuian Heavy Ball,1,Trainer,,
Counter Catcher,1,Trainer,,
Pokestop,3,Trainer,,
Irida,4,Trainer,,
Prime Catcher,1,Trainer,,
Nest Ball,4,Trainer,,
Boss's Orders,1,Trainer,,
Iono,1,Trainer,,
Superior Energy Retrieval,4,Trainer,,
Super Rod,2,Trainer,,
Canceling Cologne,1,Trainer,,
Buddy Buddy Poffin,4,Trainer,,
Ciphermaniac's Codebreaking,1,Trainer,,
Ultra Ball,3,Trainer,,
Switch,1,Trainer,,
Rare Candy,3,Trainer,,
Earthen Vessel,1,Trainer,,
Basic Water Energy,9,Energy,,
