1,Declan E,Iron Thorns,12,4,0,0
2,Noah L-U,Lugia,9,3,1,0
3,Liam G,Dragapult,3,3,1,0
4,T-Jay H-D,United Wings,9,3,1,0
5,Danny E,Regidrago,9,3,1,0
6,James T,Archaludon,9,3,1,0
7,James N,Regidrago,9,3,1,0
8,Adam S,Archaludon,6,2,2,0
9,Shawn F,Regidrago,6,2,2,0
10,Theo E,Chien Pao,6,2,2,0
11,Bradley S,Dragapult,6,2,2,0
12,Jack S,Lost Box,6,2,2,0
13,Andrew L,Charizard,6,2,2,0
14,Emily W,Meowscarada,4,1,2,1
15,Bobby H,Gardevoir,3,1,3,0
16,Raymond R,Pidgeot Control,3,1,3,0
17,Maxwell J,Terapazard,3,1,3,0
18,Dylan S,Tinkaton,3,1,3,0
19,Albert R,Raging Bolt,1,0,0,1
20,Cian M,Greninja,0,0,4,0
