Raikou V,3,Pokemon,BRS,48
Fezandipiti ex,1,Pokemon,SFA,84
Latias ex,1,Pokemon,SSP,76
Pikachu ex,1,Pokemon,SSP,57
Pikachu ex,1,Pokemon,SSP,247
Radiant Greninja,1,Pokemon,ASR,46
Squawkabilly ex,1,Pokemon,PAL,169
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Hoothoot,2,Pokemon,SCR,114
Noctowl,2,Pokemon,SCR,115
Penny,1,Supporter,,
Arven,3,Supporter,,
lono,2,Supporter,,
Bianca's Devotion,1,Supporter,,
Crispin,3,Supporter,,
Boss's Orders,2,Supporter,,
Earthen Vessel,3,Item,,
Counter Catcher,1,Item,,
Hisuian Heavy Ball,1,Item,,
Night Stretcher,2,Item,,
Buddy-Buddy Poffin,2,Item,,
Super Rod,2,Item,,
Ultra Ball,3,Item,,
Tera Orb,1,Item,,
Trekking Shoes,2,Itemm,
Nest Ball,3,Item,,
Powerglass,1,Tool,,
Bravery Charm,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Basic Metal Energy,3,Energy,,
Basic Grass Energy,3,Energy,,
Basic Lightning Energy,5,Energy,,
