Ralts,4,Pokemon,ASR,60
Kirlia,4,Pokemon,PR-SWSH,271
Gardevoir ex,2,Pokemon,PAF,223
Munkidori,3,Pokemon,SFA,72
Flutter Mane,1,Pokemon,SVP,97
Scream Tail,1,Pokemon,SVP,65
Drifloon,1,Pokemon,PAF,155
Radiant Greninja,1,Pokemon,ASR,46
Budew,1,Pokemon,PRE,4
Spiritomb,1,Pokemon,PAF,158
Mawile,1,Pokemon,LOR,71
Arven,4,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,1,Supporter,,
Iono,3,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Nest Ball,1,Item,,
Hisuian Heavy Ball,1,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,2,Item,,
Super Rod,1,Item,,
Night Stretcher,2,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,1,Tool,,
Hero's Cape - ACESPEC,1,Tool,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
