Teal Mask Ogerpon ex,1,Pokemon,TWM,25
Fezandipiti ex,1,Pokemon,SFA,84
Latias ex,1,Pokemon,SSP,76
Hoothoot,2,Pokemon,SCR,114
Raging Bolt ex,4,Pokemon,TEF,218
Fan Rotom,2,Pokemon,SCR,118
Squawkabilly ex,1,Pokemon,PAF,223
Teal Mask Ogerpon ex,3,Pokemon,TWM,190
Slither Wing,1,Pokemon,PAR,107
Noctowl,2,Pokemon,SVP,141
Professor Sada's Vitality,4,Supporter,,
Iono,2,Supporter,,
Boss's Orders,2,Supporter,,
Earthen Vessel,4,Item,,
Night Stretcher,3,Item,,
Prime Catcher - ACESPEC,1,Item,,
Superior Energy Retrieval,2,Items,,
Ultra Ball,3,Item,,
Pal Pad,1,Item,,
Nest Ball,4,Item,,
Area Zero Underdepths,3,Stadium,,
Jamming Tower,1,Stadium,,
Basic Fighting Energy,3,Energy,,
Basic Grass Energy,6,Energy,,
Basic Lightning Energy,3,Energy,,
