Froakie,1,Pokemon,OBF,5
Dusclops,1,Pokemon,SFA,6
Squawkabilly ex,1,Pokemon,PAF,169
Budew,1,Pokemon,PRE,4
Origin Forme Dialga V,2,Pokemon,SWSH,253
Duskull,3,Pokemon,BRS,60
Dusknoir,2,Pokemon,SFA,20
Greninja ex,1,Pokemon,TWM,106
Dusclops,1,Pokemon,PRE,36
Origin Forme Dialga VSTAR,2,Pokemon,SWSH,254
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Greninja,1,Pokemon,ASR,46
Iono,4,Supporter,,
Irida,2,Supporter,,
Professor's Research,2,Supporter,,
Boss's Orders,1,Supporter,,
Prime Catcher - ACESPEC,1,Item,,
Buddy-Buddy Poffin,1,Item,,
Counter Catcher,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Pokegear 3.0,1,Item,,
Night Stretcher,4,Item,,
Hisuian Heavy Ball,1,Item,,
Rare Candy,3,Item,,
Switch,1,Item,,
Earthen Vessel,2,Item,,
Jamming Tower,2,Stadium,,
Pokestop,1,Stadium,,
Basic Water Energy,7,Energy,,
