Mawile,1,Pokemon,LOR,71
Cresselia,1,Pokemon,LOR,74
Drifloon,1,Pokemon,SVI,89
Scream Tail,1,Pokemon,PAR,86
Munkidori,2,Pokemon,TWM,95
Kirlia,4,Pokemon,SIT,68
Ralts,4,Pokemon,ASR,60
Manaphy,1,Pokemon,BRS,41
Budew,1,Pokemon,PRE,4
Flutter Mane,1,Pokemon,TEG,78
Gardevoir ex,2,Pokemon,PAF,217
Arven,3,Supporter,,
Boss's Orders,1,Supporter,,
Iono,3,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Hisuian Heavy Ball,1,Item,,
Counter Catcher,2,Item,,
Secret Box - ACESPEC,1,Item,,
Night Stretcher,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,2,Item,,
Rare Candy,1,Item,,
Super Rod,1,Item,,
Bravery Charm,1,Tool,,
Technical Machine: Devolution,1,Tool,,
Technical Machine: Evolution,1,Tool,,
Moonlit Hill,1,Stadium,,
Temple of Sinnoh,1,Stadium,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
