Munkidori,1,Pokemon,TWM,95
Squawkabilly ex,1,Pokemon,PAF,74
Ceruledge ex,3,Pokemon,SSP,36
Manaphy,1,Pokemon,BRS,41
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Greninja,1,Pokemon,ASR,46
Origin Forme Palkia V,1,Pokemon,ASR,39
Origin Forme Palkia VSTAR,1,Pokemon,ASR,40
Charcadet,2,Pokemon,SSP,32
Charcadet,1,Pokemon,SCR,29
Briar,1,Supporter,,
Boss's Orders,2,Supporter,,
Carmine,4,Supporter,,
Professor's Research,3,Supporter,,
Iono,1,Supporter,,
Secret Box - ACESPEC,1,Item,,
Buddy-Buddy Poffin,1,Item,,
Earthen Vessel,3,Item,,
Ultra Ball,4,Item,,
Super Rod,1,Item,,
Night Stretcher,3,Item,,
Nest Ball,3,Item,,
Pal Pad,1,Item,,
Pokestop,1,Stadium,,
Basic Water Energy,4,Energy,,
Basic Darkness Energy,2,Energy,,
Basic Fire Energy,6,Energy,,
Basic Psychic Energy,1,Energy,,
Jet Energy,4,Energy,,
Basic Metal Energy,1,Energy,,
