Okidogi ex,2,Pokemon,SFA,36
Pecharunt ex,2,Pokemon,SFA,85
Squawkabilly ex,1,Pokemon,PAF,223
Fezandipiti ex,1,Pokemon,SFA,38
Roaring Moon ex,1,Pokemon,PAR,124
Mew ex,1,Pokemon,PAR,216
Munkidori,2,Pokemon,TWM,95
Munkidori ex,2,Pokemon,SFA,83
Janine's Secret Art,4,Supporter,,
Iono,2,Supporter,
Professor's Research,2,Supporter,,
Boss's Orders,2,Supporter,,
Energy Switch,2,Item,,
Pokemon Catcher,2,Item,,
Night Stretcher,2,Item,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Earthen Vessel,1,Item,,
Lost Vaccum,1,Item,,
Pokegear 3.0,1,Item,,
Hisuian Heavy Ball,1,Item,,
Super Rod,2,Item,,
Secret Box - ACESPEC,1,Item,,
Dark Patch,1,Item,,
Binding Mochi,4,Tool,,
Basic Darkness Energy,12,Energy,,
