Ralts,4,Pokemon,ASR,60
Kirlia,4,Pokemon,SIT,60
Gardevoir ex,1,Pokemon,PAF.29
Gardevoir ex,1,Pokemon,SVI,86
Munkidori,2,Pokemon,TWM,95
Scream Tail,1,Pokemon,SVP,65
Drifloon,1,Pokemon,SVI,89
Radiant Greninja,1,Pokemon,ASR,46
Cresselia,1,Pokemon,LOR,74
Arven,4,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,1,Supporter,,
Iono,2,Supporter,,
Call Bell,4,Item,,
Buddy-Buddy Poffin,1,Item,,
Ultra Ball,2,Item,,
Hisuian Heavy Ball,1,Item,,
Earthen Vessel,3,Item,,
Pokegear 3.0,2,Item,,
Counter Catcher,1,Item,,
Super Rod,1,Item,,
Night Stretcher,2,Item,,
Precious Trolley - ACESPEC,1,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,2,Tool,,
Artazon,3,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
