Iron Bundle,1,Pokemon,SVP,66
Origin Forme Dialga V,2,Pokemon,SWSH,255
Origin Forme Dialga VSTAR,1,Pokemon,ASR,210
Origin Forme Dialga VSTAR,1,Pokemon,SWSH,256
Radiant Greninja,1,Pokemon,ASR,46
Archaludon ex,1,Pokemon,SSP,130
Archaludon ex,3,Pokemon,SSP,224
Fezandipiti ex,1,Pokemon,SFA,38
Lumineon V,1,Pokemon,BRS,40
Duraludon,4,Pokemon,SCR,106
Professor's Research,4,Supporter,,
Iono,2,Supporter,,
Boss's Orders,3,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Thorton,1,Supporter,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Earthen Vessel,3,Item,,
Night Stretcher,4,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,2,Item,,
Counter Catcher,1,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Jamming Tower,2,Stadium,,
Basic Metal Energy,10,Energy,,
