Glaceon ex,2,Pokemon,PRE,26
Vaporeon ex,1,Pokemon,PRe,23
Cleffa,1,Pokemon,OBF,80
Budew,2,Pokemon,PRe,4
Munkidori,2,Pokemon,TWM,95
Eevee,2,Pokemon,PRe,74
Eevee,2,Pokemon,SFA,50
Snorunt,2,Pokemon,TWM,51
Froslass,2,Pokemon,TWM,53
Fezandipiti ex,1,Pokemon,SFA,28
Radiant Alakazam,1,Pokemon,SIT,59
Teal Mask Ogerpon ex,1,Pokemon,TWM,25
Boss's Orders,1,Supporter,,
Eri,1,Supporter,,
Arven,2,Supporter,,
Iono,3,Supporter,,
Crispin,1,Supporter,,
Super Rod,1,Item,,
Pokegear 3.0,1,Item,,
Counter Catcher,2,Item,,
Nest Ball,2,Item,,
Buddy-Buddy Poffin,3,Item,,
Ultra Ball,3,Item,,
Night Stretcher,1,Item,,
Earthen Vessel,2,Item,,
Technical Machine: Devolution,1,Tool
Rescue Board,2,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Artazon,2,Stadium,,
Basic Grass Energy,4,Energy,,
Basic Water Energy,4,Energy,,
Basic Darkness Energy,4,Energy,,
