Miraidon ex,2,Pokemon,SVI,227
Raikou V,1,Pokemon,BRS,48
Magneton,1,Pokemon,SVP,159
Lumineon V,1,Pokemon,BRS,40
Pikachu ex,1,Pokemon,SSP,57
Raichu V,1,Pokemon,BRS,158
Magnemite,1,Pokemon,PAL,65
Latias ex,1,Pokemon,SSP,76
Iron Hands ex,1,Pokemon,PRE,31
Mew ex,1,Pokemon,SVP,53
Iron Hands ex,1,Pokemon,PAR,70
Iron Bundle,1,Pokemon,PAR,56
Fezandipiti ex,1,Pokemon,SFA,84
Squawkabilly ex,1,Pokemon,SVP,160
Arven,4,Supporter,,
Boss's Orders,4,Supporter,,
Nest Ball,4,Item,,
Electric Generator,4,Item,,
Counter Catcher,1,Item,,
Super Rod,1,Item,,
Hisuian Heavy Ball,1,Item,,
Ultra Ball,3,Item,,
Night Stretcher,1,Item,,
Secret Box - ACESPEC,1,Item,,
Rescue Board,1,Tool,,
Forest Seal Stone,1,Tool,,
Bravery Charm,1,Tool,,
Area Zero Underdepths,2,Stadium,,
Basic Lightning Energy,15,Energy,,
Double Turbo Energy,1,Energy,,
