Ceruledge ex,3,Pokemon,SSP,36
Charcadet,3,Pokemon,SSP,32
Budew,2,Pokemon,PRE,4
Squawkabilly ex,1,Pokemon,PAF,75
Squawkabilly ex,1,Pokemon,PAF,223
Armarouge,1,Pokemon,OBF,44
Charcadet,1,Pokemon,OBF,33
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Greninja,1,Pokemon,ASR,46
Arven,1,Supporter,,
Boss's Orders,1,Supporter,,
Colress's Tenacity,1,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Salvatore,1,Supporter,,
Ultra Ball,4,Item,,
Call Bell,4,Item,,
Night Stretcher,3,Item,,
Earthen Vessel,2,Item,,
Brilliant Blender - ACESPEC,1,Item,,
Canceling Cologne,1,Item,,
Nest Ball,1,Item,,
Pal Pad,1,Item,,
Pokestop,2,Stadium,,
Basic Fire Energy,18,Energy,,
Basic Water Energy,3,Energy,,
Jet Energy,1,Energy,,
