Flutter Mane,1,Pokemon,SVP,97
Mimikyu,1,Pokemon,SVP,75
Drifloon,3,Pokemon,SVI,89
Munkidori,1,Pokemon,TWM,95
Munkidori,1,Pokemon,PRE,44
Mew ex,1,Pokemon,MEw,151
Radiant Greninja,1,Pokemon,ASR,46
Scream Tail,1,Pokemon,PRE,42
Gardevoir ex,2,Pokemon,PAF,217
Gardevoir ex,1,Pokemon,SVI,228
**Kirlia**,3,Pokemon,CEC,81
Ralts,1,Pokemon,SIT,67
Ralts,1,Pokemon,PAF,27
Ralts,1,Pokemon,SVi,84
Boss's Orders,2,Supporter,,
Professor's Research,3,Supporter,,
Iono,3,Supporter,,
Crispin,1,Supporter,,
Arven,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Unfair Stamp - ACESPEC,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,3,Item,,
Rare Candy,1,Item,,
Super Rod,1,Item,,
Night Stretcher,1,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,1,Item,,
Ancient Booster Energy Capsule,1,Tool,,
Technical Machine: Evolution,1,Tool,,
Technical Machine: Devolution,1,Tool,,
Bravery Charm,2,Tool,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,2,Energy,,
