Archaludon ex,4,Pokemon,SSP,130
Duraludon,4,Pokemon,SCR,106
Relicanth,1,Pokemon,TEF,84
Fezandipiti ex,1,Pokemon,SFA,84
Radiant Greninja,1,Pokemon,ASR,46
Iron Bundle,1,Pokemon,PAR,56
Squawkabilly ex,1,Pokemon,PAL,264
Professor's Research,4,Supporter,,
Boss's Orders,4,Supporter,,
Iono,2,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Black Belt's Training,1,Supporter,,
Night Stretcher,4,Item,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Earthen Vessel,3,Item,,
Pokegear 3.0,3,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Canceling Cologne,1,Item,,
Counter Catcher,1,Item,,
Pal Pad,1,Item,,
Jamming Tower,2,Stadium,,
Lost City,1,Stadium,,
Basic Metal Energy,9,Energy,,
