Duraludon,3,Pokemon,SCR,106
Duraludon,1,Pokemon,PRE,69
Archaludon ex,3,Pokemon,SCR`,130
Iron Bundle,1,Pokemon,SVP.58
Scyther,1,Pokemon,MEW,123
Scizor,1,Pokemon,OBF,205
Relicanth,1,Pokemon,TEF,173
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Greninja,1,Pokemon,ASR,46
Boss's Orders,4,Supporter,,
Professor's Research,3,Supporter,,
Iono,3,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Ultra Ball,4,Item,,
Nest Ball,4,Item,,
Night Stretcher,4,Item,,
Pokegear 3.0,4,Item,,
Earthen Vessel,3,Item,,
Counter Catcher,1,Item,,
Pal Pad,1,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Full Metal Lab,3,Stadium,,
Basic Metal Energy,10,Energy,,
