Charizard ex,1,Pokemon,SVP,74
Charmander,2,Pokemon,PAF,7
Pidgeot ex,1,Pokemon,OBF,217
Pidgeot ex,1,Pokemon,OBF,221
Manaphy,1,Pokemon,CRZ,GG6
Budew,1,Pokemon,PRE,4
Charmander,1,Pokemon,OBF,26
Charmeleon,2,Pokemon,OBF,27
Pidgey,2,Pokemon,MEW,16
Pidgeotto,1,Pokemon,OBF,163
Charizard ex,2,Pokemon,PAF,54
Radiant Charizard,1,Pokemon,CRZ,20
Arven,4,Supporter,,
Iono,4,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Eri,1,Supporter,,
Boss's Orders,3,Supporter,,
Jacq,2,Supporter,,
Briar,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,3,Item,,
Lost Vacuum,1,Item,,
Counter Catcher,2,Item,,
Super Rod,2,Item,,
Rare Candy,4,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Defiance Band,2,Tool,,
Technical Machine: Evolution,1,Tool,,
Basic Fire Energy,8,Energy,,
