Radiant Greninja,1,Pokemon,ASR,46
Fezandipiti ex,1,Pokemon,SFA,38
Gholdengo ex,4,Pokemon,PAR,139
Gimmighoul,3,Pokemon,SSP,97
Gimmighoul,1,Pokemon,PAR,88
Iron Bundle,1,Pokemon,SVP,58
Munkidori,1,Pokemon,TWM,95
Energy Search Pro - ACESPEC,1,Item,,
Superior Energy Retrieval,4,Item,,
Nest Ball,3,Item,,
PokeStop,2,Stadium,,
Switch,1,Item,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,2,Supporter,,
Earthen Vessel,1,Item,,
Night Stretcher,2,Item,,
Ultra Ball,2,Item,,
Ciphermaniac's Codebreaking,2,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Canceling Cologne,1,Item,,
Lost Vacuum,1,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,1,Item,,
Technical Machine: Evolution,1,Tool,,
Cyllene,1,Supporter,,
Arven,3,Supporter,,
Hisuian Heavy Ball,1,Item,,
Basic Fighting Energy,1,Energy,,
Basic Lightning Energy,1,Energy,,
Basic Grass Energy,1,Energy,,
Basic Darkness Energy,2,Energy,,
Basic Fire Energy,1,Energy,,
Basic Psychic Energy,1,Energy,,
Basic Metal Energy,3,Energy,,
Basic Water Energy,2,Energy,,
