Charmander,1,Pokemon,OBF,26
Charmander,1,Pokemon,SVP,44
Charmander,2,Pokemon,MEW,4
Charmeleon,2,Pokemon,MEW,5
Fezandipiti ex,1,Pokemon,SFA,84
Charizard ex,3,Pokemon,OBF,125
Dusknoir,1,Pokemon,SFA,20
Dusclops,1,Pokemon,SFA,19
Duskull,2,Pokemon,SFA,18
Bibarel,2,Pokemon,BRS,121
Bidoof,2,Pokemon,BRS,120
Radiant Charizard,1,Pokemon,PGO,11
Arven,4,Supporter,,
Iono,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,2,Supporter,,
Briar,1,Supporter,,
Hisuian Heavy Ball,1,Item,,
Energy Search,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,4,Item,,
Lost Vacuum,1,Item,,
Counter Catcher,1,Item,,
Nest Ball,2,Item,,
Super Rod,2,Item,,
Switch,1,Item,,
Rare Candy,3,Item,,
Canceling Cologne,1,Item,,
Prime Catcher - ACESPEC,1,Item,,
Defiance Band,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Basic Fire Energy,6,Energy,,
