Ralts,4,Pokemon,ASR,60
Munkidori,3,Pokemon,TWM,95
Kirlia,4,Pokemon,SIT,68
Flutter Mane,1,Pokemon,TEF,78
Scream Tail,1,Pokemon,PAR,86
Gardevoir ex,2,Pokemon,SVI,86
Cresselia,1,Pokemon,LOR,74
Klefki,1,Pokemon,PAF,159
Mimikyu,1,Pokemon,PAF,160
Spiritomb,1,Pokemon,PAL,89
Boss's Orders,1,Supporter,,
Iono,4,Supporter,,
Arven,3,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Counter Catcher,2,Item,,
Super Rod,1,Item,,
Rare Candy,1,Item,,
Night Stretcher,2,Item,,
Buddy-Buddy Poffin,4,Item,,
Hisuian Heavy Ball,1,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,3,Item,,
Secret Box - ACESPEC,1,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,1,Tool,,
Artazon,2,Stadium,,
Basic Darkness Energy,3,Energy,,
Basic Psychic Energy,6,Energy,,
