Applin,4,Pokemon,TWM,17
Hydrapple ex,1,Pokemon,SCR,167
Hydrapple ex,2,Pokemon,SCR,14
Teal Mask Ogerpon ex,1,Pokemon,SVP,166
Teal Mask Ogerpon ex,2,Pokemon,TWM,25
Dipplin,2,Pokemon,TWM,18
Poltchageist,1,Pokemon,TWM,20
Sinistcha ex,1,Pokemon,TWM,23
Festival Grounds,2,Stadium,,
Rare Candy,2,Item,,
Roark,2,Supporter,,
Energy Retrieval,2,Item,,
Super Rod,2,Item,,
Nest Ball,2,Item,,
Technical Machine: Crisis Punch,1,Tool,,
Drayton,3,Supporter,,
Boss's Orders,2,Supporter,,
Bug Catching Set,4,Item,,
Lady,1,Supporter,,
Earthen Vessel,3,Item,,
Buddy-Buddy Poffin,2,Item,,
Youngster,2,Supporter,,
Basic Grass Energy,16,Energy,,
