Radiant Charizard,1,Pokemon,PGO,11
Lumineon V,1,Pokemon,SWSH,250
Lumineon V,1,Pokemon,BRS,40
Squawkabilly ex,1,Pokemon,PAL,169
Wellspring Mask Ogerpon ex,1,Pokemon,TWM194
Regigigas,1,Pokemon,PRE,86
Iron Hands ex,1,Pokemon,PAR,70
Archeops,4,Pokemon,SWSH,272
Minccino,2,Pokemon,TEF,182
Cinccino,1,Pokemon,TEF,183
Cinccino,1,Pokemon,TEF,137
Lugia V,3,Pokemon,SIT,138
Lugia VSTAR,3,Pokemon,SIT,139
Iono,2,Supporter,,
Jacq,1,Supporter,,
Boss's Orders,4,Supporter,,
Carmine,1,Supporter,,
Professor's Research,3,Supporter,,
Nest Ball,2,Item,,
Ultra Ball,4,Item,,
Capturing Aroma,4,Item,,
Mesagoza,2,Stadium,,
Luminous Energy,1,Energy,,
Legacy Energy - ACESPEC,1,Energy,,
Jet Energy,4,Energy,,
Double Turbo Energy,3,Energy,,
Mist Energy,3,Energy,,
Gift Energy,4,Energy,,
